id,Polarity,Tonality,Contradictions,Rhetorical Techniques,Propaganda Methods,Logical Errors
0,negative,critical,yes,"ad hominem, contradiction","cherry-picking, fearmongering",hasty generalization
1,neutral,informative,no,"rhetorical question,  anecdotal evidence,  contrast","appeal to authority,  oversimplification",post hoc ergo propter hoc
2,negative,critical,yes,"quoting, appeal to authority","card stacking, bandwagon",false dichotomy
3,negative,skeptical,yes,"appeal to uncertainty, cherry-picking, slippery slope","fear-mongering, misleading statistics",hasty generalization
4,positive,optimistic,yes,"anaphora, anecdotal evidence, contrast","card stacking, transfer, appeal to authority",post hoc ergo propter hoc
5,neutral,"informative, yet critically reflective",no,"comparative analysis,  statistical evidence,  alliteration","misleading comparison,  appeal to emotion",false analogy
6,negative,critical,yes,"evasion, ambiguity","ad hominem, red herring",hasty generalization
7,positive,assertive,no,"exclusive claim, appeal to authority, historical reference","name-calling, card stacking, flattery",false dilemma
8,neutral,objective,yes,"contrast, limited scope","cherry-picking, oversimplification",fallacy of composition
9,negative,critical,no,"appeal to authority, use of statistics, loaded language","suppression of evidence, scare tactics",oversimplification
10,positive,celebratory,no,"historical context, contrast, appeal to authority","glittering generalities, bandwagon, testimonials",oversimplification
11,negative,somber,yes,"statistic use, contrast, pathos","fearmongering, cherry picking",hasty generalization
12,positive,assertive,no,"contrast, specificity, personalization","euphemism, appeal to authority",hasty generalization
13,negative,serious,no,"appeal to authority, statistics, emotive language","bandwagon, use of experts",hasty generalization
14,negative,critical,no,"anecdotal evidence, hyperbole, appeal to emotion","fearmongering, bandwagon, cherry-picking",none
15,negative,concerned,no,"statistics, repetition","appeal to emotion, bandwagon",overgeneralization
16,negative,critical,no,"antithesis, quoting, appeal to authority","demonization, fear mongering, name-calling",straw man
17,negative,critical,no,"hyperbole, metaphor, appeal to emotion","scapegoating, value judgment",hasty generalization
18,negative,critical,yes,"hyperbole, causal relationships","cherry-picking, appeal to fear",hasty generalization
19,negative,serious,no,"approximation, appeal to authority","bandwagon, fear tactics",hasty generalization
20,negative,critical,yes,"counterfactual comparison, appeal to authority","cherry-picking data, emotional appeal",false dilemma
21,neutral,informative,no,"use of statistics, quoting","appeal to authority, oversimplification",ambiguity
